username,tweet_processed,target
KNicholeMusic, FOLLOW ME!!!! ,0
KaiBizZle,I jizzed all over shorty face! ( Lmaoo ) @MajorHarris I used it right??? ,0
thexC00l,"Just painted my nails and finished both of my projects, time for bed noww. Good night twits ",0
jaykayend,"june 8th needs to hurry the eff up 'cause i wanna cuddle. anyway, party party this weekend for gi's grad. it's gonna be ridic and silly ",0
ItsDawns,@TidyCat check it hehe naughty puppy stealing the cat food ,0
dulcecandy87,OMG I just a got a special Invite to the IMATS in LA.....Thanks Cori!!!  Whos coming???? Let me know pls...,0
moony394,@karendee LMAOOOOOOOOOOOOOOOO i was wondering what you were talking about but now i get it hahahah THANK YOU   ,0
ryszard99,hates buying expensive and low quality lunch in the city. Packed lunch ftw! ,0
FWSR28,@eve6er69 i'm not within the USA ,0
iin_mii_zone,@STEEZE88 Yeah i heard about that too......yeah that's yo &quot;baby mama&quot; but that's my wifey.. ,0
Michelle__2011,walking to starbuckss ,0
Margauxislove,@KING617 thanks for following ,0
tophatdog,"@siyaadah You're so sweet, thank you. Sorry I was gone for awhile again  Scooter really is a great dog, so funny &amp; full of life",0
Aurianna,@joeymcintyre You need to tile your background so we can actually see the picture - it's being blocked by the twitter screen ,0
SCourt,Enjoyed tonight's graduating cohort's pep talk/Q&amp;A. Everything you wanted to know about getting through but were afraid to ask ,0
jeraldxcore,I've prepared My School Thingy. ,0
baarbyy,@selenagomez omg i know sel it is awesome ,0
Azleeshy,OHHH I hear Across the Universe playing in the other room.... NIGHTERS!!!!! ,0
Sbaluta,Love my new steam mop  yeah.. I'm a dork and enjoy cleaning my place,0
mrjessMCK,Question of The Day:Why does the Easter bunny carry eggs? Rabbits don't lay eggs ooor do THEYY???........no they dnt i googled it  jk,0
alexcubla,@lbchaser hey dude hope your doing good  miss ya ....,0
Hampiee,I just ran a red light ,0
MissXu,"for the ladies ONLY - if you got a chance to visit the Playboy Mansion, would you?  (you can DM if you don't want to say out loud  )",0
tnkrbell23,"Dont forget you love your baby  lol LIVE,LAUGH,LOVE",0
evanna11,"@Sims http://twitpic.com/613ce - Oh, looks really nice! ",0
riddle7,@skrzydlinski i love u melski!!! cant wait until friday!!! it wont get here soon enough!!! ughhh  143,0
FightingDreams,@leeclamp Hey Lee.  I finally got a Twitter!,0
Eddiiiie,Omg 2 dollar tacos from old town are SOO bomb! I wulda never thot of getting a cheesburger taco!  satisfied,0
Koann,"@pahlkadot Re: microsyntax, You're one of the few girls that may be an even bigger nerd than I.  Nice ",0
GMoua,"@maadster Wherever you're at Maddd, have a safe trip and tell your mom I get well after her surgery! Ya'lls in my prayer  Love you Madddd.",0
coachbagluver,i am feeling great after practice...my stamina for this dance is increasing ,0
bbBonnie,"Home cooked meal, Hannah Montana, and a responsably-stoned conversation with my mom ",0
uddin2,Searching for a job ,0
slikchikusa,@mileycyrus Me too! But I gotta do the 9-5 thing everyday so I have to get to bed sometime..except for weekends! ,0
Bissessar,@wentworthmiller  i'm listener felicityb on ur blip....felicity is my first name &amp; u already know my last  ,0
sarahdeann,Super busy all day today. moved mom in. 2 blocks is the best distance to have in between us.  good night and god bless,0
Jsvanegas,"finally going to sleep ... tomorrow another day of work &gt;,&lt; ah i wish i could sleep all day o.o.. tomorrow i can see u again claudia ",0
koriemani,"- goingg to sleep  school , then out for pizzaa!",0
method86,finally a day off  http://method86.wordpress.com/,0
MrSecureT,Couldn't help myself. Stayed with it 'til the end. Rangers beat the Yankees!  ,0
GlennSON,Naps the whole day? arrgh but I did wake up to see the Magics Woop On some LBJ ass! whaaaat? Lakers and Magics in the Finals! ,0
SashaKane,"@barryfrangipane Are you and Debbie, having a great time? Was told to start being more conservative about what I Tweet. ",0
LBJJ9,"@PandaMayhem ok 8 emails total, 21 songs, np you r welcome anything to help out a NKOTB sista ",0
WarsanYassin,@pookeynoodlex  byee you work you ass of ya heaard ,0
shannon_quinn,guy @ ihop looks like rob thomas. ahahahaha. fun night ,0
skivr,"@iPanoramic360 no problem  I know it's complicated to put gps on canon, you should switch to Nikon lol ",0
JoannePDX,"Enjoyed Terminator Salvation much more than I expected to. It's not one to think too deeply about, just sit back &amp; enjoy the action  ",0
HaveHeart,"School's finally finished, it kinda felt like today took forever. But it was a good day! The weathers sunny now ",0
Bamboujikin,@CandoNintendo haha of course it was a good idea.. You'll only get to jetski once through the whitsundays paid for by the boss ,0
dancerforlife,"because I'm tired, but can't sleep, I'm going to put on Harry Potter and make popcorn. ",0
singlemaltTV,@AlistairLaing  it is tough Alistair but we force ourselves to grin and bear it  ,0
MsJennyBPants,Did I mention it really is painful being here and not there? Because it really is. And I'm pretty sure I'm having sympathy contractions. ,0
ahsan,@Casssady wish u productive day tomorrow - good night - sleep well ,0
Katherineie, Getting ideas for my room revamp! ,0
esmeg,"@ImaPacifist ok,keep chillin' - learned that word the other day too ",0
KatieQuan,goodnight tweethearts!!!! great day  i should probably be more aware of the fact that andrew is deaf next time i choose where we sit..,0
knyas,??? ? Towel Day ????? ? ???????????  ? ?????.,0
danny_roberts,@gerihirsch i quoted you on my blog post !  haa igorandandre.blogspot.com,0
thundercatlisa,Parents are fighting. Fantastic. Getting a wake up call from the bestest person ever. ,0
Plopleadguitar,Just got home from terminator and a 20 min drive. I love driving late at nite with nice weather and cool music. ,0
herstartup,@Foodology dessert! there's always room because you eat it 1st! then my veggies ,0
rabbitlove123,@Fishie_TuTa h�h� th?t th? sao ss) v?y l� ch? c?n thi nhiu ?i?m th� ?o?t lo?i gi?i ss ,0
Jamie_Eason,@Tani122 At least they are a healthy treat!  You can even leave out the ricotta. Just add one more egg white and a baby food jar of water,0
aznJaime,"@joeypage Psh, forget the Chicago show... Cali. show ",0
staceydykstra,@jacobfrazier jonathan and I went and met up with brandon and lindsey. Friends from San Fran area. It was lots of fun!!! And nice weather ,0
GROUCH247,uggh i cant wait till my hubby get's home from work... just  wanta spend time with him ,0
mark_stuckert,@toddsmithdesign ,0
jlieu,@NCFitclub THANKS!  I will keep in touch! ,0
EveTilaTequila,In xbox 360 playing some cod4 for get my sleepp ,0
bluemickey21,on and off... lulubog... lilitaw...  ,0
groovyitgirl,It's always a joy to get called in the middle of the night ,0
danfinch,"@Estep you are a saint, should have mentioned that I meant the actual code text editor - I am just bitching about the changes in keys/etc ",0
RickyDoig,@madformanhattan Yess i'm also a fan of chanel !! its amazing ,0
superhumanm0r0n,i have the urge to watch holes. and last weeks criminal minds episode. it was great lol ,0
TaosJohn,"@thegoodhuman I assume you don't have a cat, or maybe you did, but that was before your visitors. ",0
meganunthank,@REALalwilliams band boy and I are now engaged and im pregnant with his babies. thanks sooo much for setting us up last night ,0
newtonseye,"i see lots of people are unfollowing, in the meantime I am looking for people to follow ",0
JTheMachine,just got home from work. We got ROBBED when it came tip time. Don't know what happened...talk to me ,0
ccimdina,@comeagainjen http://twitpic.com/61fmq - omd.. i love ur nails! ,0
TwiLove66,@jesse_la Hellooo dear!  what up?,0
Zeltus,@chynabarbeedoll whats up smexy? ,0
seeyuh,@ladyyykatty oh. that's bad. she's following me. ,0
primaveron,@LimeIce and I'm assuming the dress will be lime green as well! ,0
adorkablecutie,@dannygokey Your my hero!  Your AMAZING!,0
Best4uRapunzel,@danecook I dreamed about those abs the other night  ,0
JessiDavis_,somebody on twitter just told me i need implants LOL if i wanted them id buy them honey  id rather have my own condo. thx!,0
InFaMoUsHeRo,I just won $4 on a scratcher. God is smiling down on me tonight. ,0
SassyCaliChic84,@YoungSlapz will do sir ,0
Stu_D0gg,"@TheLovelyNikki Nighty night, miss ",0
geecalhoun,"Working on the business...day in, day out...Gonna pay off though!! ",0
chele10123,"Singing.....Blame it on tha Goose, got me feelin loose, blame it on tha 'trone, got me in tha zone.....  *Big Smile*",0
emptydialogues,is now in boon fang's house and will heading to NHPS! ,0
miizronnie,"@cathy_cochina40 true, better than nothing ",0
ChelseaBurr,Just got home from hanging out with the boyfriendd &lt;33 Today is our two month :]]] Feels like forever ,0
Jen2Squared,@Jason_McIntyre I twitter dropped. He got home last night and hasn't tweeted since before he left on Friday. U miss him as much as I did? ,0
olivianola,@KathAtomz jkjk  john o' and william will always be hotter though.,0
dutgoodman,"is in peru, and is 2 for 2 on good sro so far.  even the starbucks was drinkable today.",0
shaybutter,@dphresh lET ME KN0W WHEN URS W0RKS ;] CUZ iM TRYiN T0 CHANGE MiNE. ,0
Dreagirl619,@SocietyReject:  man seriously. ,0
irenecarag,is with babe  i misssed you! talk talk and talk.,0
kevinpasco,"is following exactly 1000 people, cool ",0
raneash83,its that time of the day when i have gone brain dead... time to pack up and head home for the day ,0
blue22pr,"@lafinguy Um, my 10-yr old is not &quot;hot,&quot;  but thanks for the compliment!",0
Rotae,@KevinRuddPM You guys delivered a smackdown on the opposition today in Question Time! Funniest show on TV! Wish ABC showed it all! ,0
widg3tt,@rachelmcadams Have you ever worn a canadian tuxedo? ,0
ModernPOP,A couple of new blog posts to check out if you are bored out of your MIND  http://bit.ly/pZ8Wu,0
makeupspot,Hey Brooke...wishing B a happy bday...it's also Alex's 2 months ,0
chelsgafkjen,Today has been a great day. ,0
petehopkins,@RentToOwnHomes dude i love kalispell montana. most crystal blue water i've ever seen.  really spectacular thx for the follow!,0
MylNL,on my way 2 work smile on my face sun is shining in Amsterdam ..finaly ,0
baldeggie,Were HOME now time 2 grind  no hospital roll will try again 2morrow grrr,0
jaelynnnnn,time to sleep...  night everybody!!,0
iphonefresh,Android Apps might soon run natively on Ubuntu  http://bit.ly/HYyLG,0
HeeySusie,Off the computer. Texxxt me cute kids ,0
EmilSayles,@JessicaRochelle don't let it stress you its always good to hear from u 6am wake up time for me twit u soon ,0
luxocrat,"I'm not as much too lazy to workout as I am too lazy to drive to the gym, does someone want to give me a ride? ",0
teagangsta,@wAonLdeIrlCanEd Got it! Worked like a charm! (how ever good they work) ,0
LolahCherry,@redd314 friends were so cool and down 2 earth it was fun...  ,0
markjohnathen,@nicolerichie http://twitpic.com/61fqw - you're seriously so gorgeous.  i envy you x69 ,0
brandonbMK09,@M1ssNina koo! i wish i was there lol ,0
joanaruby,Being productive is fun  now it's time to clean my room.,0
iheartbanana,@cristi4n &lt;333 Darling did you protest today? And who is an inspiration? haha ,0
shontelsherrea,Good night beauties ,0
andrewghayes,@traveladdict thank you ,0
louiealdip,@tracecyrus I LOVE METROSTATION.i have dance steps to shake it :&quot;&gt; ,0
bendennis,"long, fun day...relaxing with some FRIENDS ",0
jemariie,@comeagainjen http://twitpic.com/61fmq - so cute! ,0
kbrown1906,@MissKeriBaby Awww cheer up sweetie!!!! Enjoy yourself! ,0
winyoo,"I can't wait the match.. Barcaaaa, please get the trophy ",0
rgoodchild,@benjamintelfer our twitter friendship is over! !!!!!!!!!!!!! meh... I spell his name wrong all the time ,0
prettysilly,"@dyaniss Teach me tomorrow, please? ",0
tinkarooni,"@JustJayde Lol well you can keep the melon, too cold for that stuff anyway ",0
JenTekk,@jedmarc  It went well ty! Will be brought before the Board in 2 wks. The gal I presented to was impressed. Keeping fingers crossed.  ,0
jpgmonkey,I went around for 5 hours today smelling like melted chocolate. It was very amusing seeing people trying to guess my perfume today ,0
nobes_87,"@bethanie The left. Because it has a pulled muscle. And I did, very clever *patting your head* ",0
miserylied,"@Lovely_London Oh, okay. I love your tattoos, by the way. ",0
biotik,Wolf-Hirschhorn syndrome ,0
urn,@pmcadwell Thanks so much for your help! ,0
caitlinduhhh,@estrella_bby hahah  what do you want for graduation?,0
MsXtina23,@chanel_latrice let's layout and swim tomorrow! ,0
Trinity_B,@Tcell1 Hey. ,0
Bowl_the_Bunny,@tweetnotpurge1 But you won out in the end - *not* ED! That's major. I'm very proud of you.  &lt;3,0
KNicholeMusic, FOLLOW ME!!!! ,0
pinkypatchy04,Just received the official wedding invite for one of my good friends--can't wait! ,0
quachee,searching dream photos to create the 'dream montage'. one of the tools learnt in 'the secret'. try it ,0
kittyberry,Ok @CharlyJohnson @CharlyJohnson @CharlyJohnson ,0
teampaulwall,"@FilmFreakFranco @ohapey dear javier, i cant miss this golden opportunity. you &quot;always wanted a woody&quot; sad to hear your not a man yet. ",0
meganlattero,i give up. goodnight ,0
TimothyCarter,@JPmicek DUDE...have ya peeped my rockin' hot Blogi360 site these days? http://SocialNetworkingLifestyle.com Would love some feedback! ,0
taskzen,Video tweeting in Tweetie for Mac - powered by @yfrog  http://yfrog.com/0tv39p  - putting the final touches on the UI now  (via @atebits),0
gstro,it feels good being on summer vacation! ,0
reallyreallynz,@joferro It's fabulous! Congrats guys! ,0
nawong,"@henriliriani even some of the elements are not so native-looking, the UI still looks pretty good ",0
FISHSOOUP,@imohsomarvelous yeah but it's great ,0
timoni,"@jasonbentley Still, though, the project you were working on was pretty cool. ",0
AnnSue,"@mileycyrus I WISH... LOL~ It all changes soon,,, I gotta ground myself.. LMAO~~ XOXO ",0
CD09,"@sandipantz I can't sleep.   Here are some more, they fucking hilarious! http://tinyurl.com/qauqfp  Have a great night Sandy.",0
webmaster_paul,@oliviamunn We're on here right now olivia! Thanks for taking my call! ,0
makinitrite,@rockentry  good nite...are you eyes closed now?    sweet dreams !,0
ohmymae,"Just got back from market-market, bought the 8GB memory card for the psp, already. ",0
den1110,Hope that Jillian will slay those dragons...  Off to bed to get some much needed ZzzZz�s!!!!,0
laurenparadiso,@Ray_Kay RAY!  ...oooooh ok we're soooo exited to see  eeeeeeeeeeee,0
DanggItsDevin,@miSS_MoDeL sorry 4 the 3rd degree but ur to good 4 that ,0
sugarghc,@HellyGrace good morning! ,0
Indica22,@wentworthmiller hey! looks like you got your picture fixed!  right on.,0
Alaerys,@Zyster Books are my best friend  CM is pretty good. I like anything I can mix.,0
xibalbathirteen,@Phatlip12 I think i might have ran across a picture of a forum member http://bit.ly/11EaYj  ,0
kencasey,"@lilwldchld If you can't beat it...Hot Hot Heat with &quot;Talk to Me, Dance With Me&quot;.  ? http://blip.fm/~74115",0
staceyisrad,@xoxolovebug that's okay! lol i have to finish up a paper for tomorrow anyways. i'll be on tomorrow ,0
DanielleMarie89,"Stop hatin on a bitch, that's a weak emotion ",0
iPat143,@TraceCyrus Philippines!!!! woot! I might watch you guys. ,0
ladyohawk,"5.55 miles, whoo! god I'm gross ",0
b_cecilie_brix,"@MGiraudOfficial me, me!! come play for me ",0
TeamMellon,"Headed to Philly tomorrow! Check it, http://teammellon.weebly.com/. donate fools! ",0
avivabennett,"became a huge fan of NETGEAR, if anyone needs a computer router----GREAT customer service    very impressive",0
catieronquillo,@genehiga @annhamilton it was so fun shooting with you both this afternoon! thanks for sharing your wealth of knowledge ,0
_magic8ball,@dlawless It is certain ,0
Mygirl04,I'm gonna take a hot bath and read until its wayyyy past my bedtime!! ,0
staceydykstra,@jacobfrazier oh yeah and have lots and lots of fun with mickey tomorrow for steph's birthday ,0
goodeatsdfw,I wrote a post on @chefblythebeck at http://www.goodeatsdfw.com/?p=72 and now I'm following her on Twitter. We both like Golden Girls ,0
meago23,The Promise- Anberlin ,0
KallieShort,watching ever after. feeling better about life ,0
mewantssomeoreo,is back ; watching BOF ,0
myria101,@Strabismus night ,0
GenNewman,Trying this on my ipizzle touch ,0
aliceee,just saw a HUGE COCKROACH in the kitchen! wtf how is it so big?! thank god my dad came to the rescue  ahhhhhhhh so scary still!,0
lvlyfairygrl,"finally going to bed!! good night, everybody.  sweet dreams",0
TwinkieMonster,woo! I finished! 12 more to go. ,0
xdaisyo,gave myself a french manicure ,0
lilJolie,I have a new myspace!! ,0
teamJess,Rly fucking LOVE every single purchase i made today  the dress has officially grown on me,0
CatiaDestine,"@mileycyrus Miley takes a tranquilizer for sleep which is very good, I take the time      ",0
PussyPrevails,LOL. I can't HELP it. I'm glad it keeps you entertained tho.  @royallyme,0
AdrianCamacho,practice went well. dancing with the starzsky event ft. slow motion red lights is thurs. and plano show saturday!  very excited.,0
october_cmu,yay. totally happy that the Magic won. and i'm gonna wing it tomorrow with my speech on AI. lol fun ,0
GlamourRockKid,"Sandwiches, courtesy of Holly Wood, Movies, and a relaxing night ",0
lalalinds,@mileycyrus i love that show! lucky  haha.,0
corewarrior,@jaymartinez No worries. Far important to get the twins to sleep ,0
mitchjoel,@allanjenkins it would be great to meet in person Allan. I hope you can make it ,0
Razzledeedazzle,Pretty tired haha I still gots to shower  I hate how tomorrow is only Tuesday  Fuck duuuude Oh an the run today was good ,0
Meg_Han_Solo,@theactualjoey yes... Yes I am ,0
CNelly,@souffront_ I love your skank ass too ,0
jjayarzadon,@carlosanna there's twitter in the philippines? hah  @heysarahrose hey!,0
raistalla,had a great day  hiking in the city with my love bug ,0
jasonmiller21,"Guess we're going to see the Magic in the Finals instead of Lebron.    Oh well, the Lakers are going to win it anyway.  ",0
Delriach,"@jeffrubenstein pfft, forget Disgaea (great game)... play some Suikoden on the PSP instead. ",0
JoBros31,lying in my bed watching disney channel ,0
Dolce_Simona,"@Jessi_lea it depends, i think for more designer stuff, the US site  I am also loving urban outfitters, i will send there website ",0
pinkydiamonds,I'm so excited bout this Saturday! Hope Fatin can make it this time ,0
bkb91,I'll just pretend.... I'm good at it.  happppy brittney!,0
andyshred,watching some music videos ,0
GeraldFerr,@babblingbrookie: Try this. Concentrate on the four dots in the middle of the picture for about 30 secs.... http://twitpic.com/5zw4w ,0
BostinBloke,@AndyGoulding can you sort me out a meet with Escala? ,0
andmirandasays,"@GoCheeksGo I'm sure you have it by now, but just in case.  http://community.livejournal.com/fiercefabcheeks/profile",0
KaraLeeWoods,Iiiccee cream ,0
skribe,"@cindyleigh Of course, but most people would think you were a scamming spammer ",0
MrsSnaff,@littlefuoco good morning! how much have you seen so far? ,0
ashtonmcintosh,many things on my mind-i want to go shopping...i really don't like this rain..im excited for powerhouse..and i like this twitter thing ,0
impluvium,@johnkung I would be very angry if I went through a speed camera at 11.2km/h and got a fine! ,0
xoxomargx,@ilse_fernandez heyy i got facebook now ,0
Nadiart,@glamah  ahh.. i thought it looked like pacific  northwest.  my people are from there  thanks,0
civlee,@OliviaWilder Love your friends! Thx. ,0
Haramis,A sunny cloudless day - great! ,0
mynameisarianne,i must to go all time low signing next monday ,0
maadster,@GMoua okie dokie  hopefully ms p will be there lol,0
djmiguelgarcia,good morning party people! ,0
nsteinmetz,@jespern great to hear that ,0
zackoid,Got back from the Palms. Gelly &amp; Nessa and I saw Night at the museum.  They LOVED IT! MOVIE ROCKED! ,0
lp23rocks,@StealthyHHH yay ur back!!! ,0
DevanyLemar,I love taylor  she's my bestestt friend. Such a good person.,0
eskimo_sparky,@barrysaunders let's discuss the finer details of the sale over lunch at Sailors Thai Canteen next week. Be sure to bring the shiny euro ,0
tylerhrt,@mileycyrus it's definitely fun! you should try it sometime. ,0
katiezender,i have that same sleeping problem @mileycyrus hopefully you and i both catch some zzzz's tonight! ,0
jozel147,Ahhhh AC in my room ,0
mikefoong,@sheldongoh have fun ,0
mizdi,"@Zorlone so it only showed the visits from around 7:30 pm yesterday up to this morning.. my time, not yours..hehe haaay..hindi na masama ",0
chelseyann226,@ZDAEfron you're amazing ,0
raamki,8 days to the t20 cricket world cup and 17 days to my vacation!! ,0
alishamathew,playin mario..how i love  old  arcade games ,0
JessiDavis_,@blackrealestate i wont. im cool with how i am  thx sweetie,0
TaylorKohn,Duuuude I don't think there is any more work for me to do the entire year ,0
DapperSnappers,I need to eat one last meal before bed. And then it's list making for me! Gnight tweeples.  ,0
ToksieOlu,Chappelle's show marathon? Hell YES! ,0
marufumega,@mileycyrus I LOVE UGLY BETTY  AJAJAJAJA THE ORIGINAL SERIE WAS &quot;BETTY LA FEA&quot; FROM COLOMBIA.IT WAS AWESOME! G&amp;G MILEY! ,0
Noway57,@Shawee23 fully awake now..hehe  wish you have a wonderful day..happy always,0
valoreetravels,@juliehancock32 You know Seabird too!? Cool  Did ya go to their Orlando show? Cause they only ever played Orlando once before this year!,0
eugnachs,"otb harry potter and the deathly hallows, haha I just reached chapter 1, longlong way to go  but this is an amazing book! I ? reading it!",0
uSchoolme,Just purchased 'Educate' app for the iPhone... report coming soon ,0
Infinideas,Awesome! It's working!!  This would be perfect for tomorrow morning when I'm watching the Champions League final at the pub!!,0
FannishInc,Ok - I've stopped being grumpy for the day now  &lt;-- see! I'm smilin;,0
SuperTrever,I'm getiing tired but I wanna keep talking to Allie ,0
missgiggly,"@shoelover79 Sure, so around 6 then? ",0
justananomaly,@Zensunni I sure hope so. I was never big into sports.. would be nice to go and see him play ,0
aaronckirk,"poker tonight 6 and 8, SPE &amp; Father Ted's should be fun... hope I win. ",0
abhishekrungta,@ankit_a Professional work costs more!  English-Hindi translation will be a big business in next few years. Keep tuned in.,0
ItsDawns,@gfranks hehe some peeps are soooooooo silly ,0
Live_Write,"Ok followers, I got work in the morning so...good night ",0
twixter12,I really think I'm jinxed and I need to touch the snout of a coin-operated giraffe to counter bad luck the whole day. It works. ,0
Elisa_Maria,So excited! Just found out Torchwood is airing on BBC America ,0
InDieRoq,Potato tacos @ Gerry.Nicoles pad &amp; watched a Japanese coachroach anime  the perfect marriage lol,0
houseADDICT,@stephaniepratt tell Jillian I LOVE her! Have since '96w ,0
Christiegarcia,@faithgoddess7 Yvw! My friend!! God Bless You! ,0
_____Lucky_____,has a mad sweet tooth. i'm goin for ice cream as soon as joey passes out ,0
ericanaa,Mm.. My bed is feeling hellaaa nice right now  .. Can I just put it out there that it feels crazyyy good to be back ?! Niiight ,0
teeeeeef,"@Lygris he is....hes an iron chef mmmm....i love his restaurants and hes not bad to look at either ; ) .i just look though, hes married ",0
quinaking,@HMXCasey I see what you did there. ,0
Vemsteroo,"@michecs I know, it gets banned in German states despite that fact (??)... Probably for the best, coulda caused a Red Bull run ",0
SMashney,@djajh2000 thanks ,0
luvtheheaven,"@AliGraysAnatomy I thought I was already subbed to you, honestly, LOL. I watch every single new video you make pretty much, lol. ",0
OregonLoves,good knight eveyone ,0
onsilentwings,Tomorrow is going to be so much fun! Friends are going to visit me in prison. Yeah!!! ,0
petehopkins,@danielleashanti I know exactly how u feel. im like so tired i cant go to sleep tho.. its weird. i need a valium and a vodka tonic!  ha,0
Listersmate,"@nursejennifer I know you can give up the cigs. Do it for me, do it for your tweet friends too. ",0
Sh0eAddict,Started the cleanse in the am-will be tough but totally worth it  night night,0
abigaeLettuce,"@aniedj oh, LOL, okay (= well use it more these days, haha! ",0
ryankelly81,Jus finishin up takin a nice long walk on the Universal City walk on such a beautiful night...  now I'm ready 2 go 2 bed! I'm TIRED!,0
jaimiesyl,yum Nick nacks!  I want Capri sun,0
californiaxxx,@RachelStarrxxx just rated u 10 on brazzers being a long time member  you and rachel roxxx make a good couple - great fucking chemistry ,0
juuulianne,"@DannyClermont alright, i guess the silence means &quot;no&quot; haha ",0
cali2vegas,@adubtharealist Cali2Vegas... tryna get on that midnight train to Georgia ,0
thehappykid,i wonder kung sino kaya ang least young sa ating lahat @gschan @InkBlue @ItsJustDi @akomuzikera pero it doesn't matter. we all look young ,0
meetsamer,@murielskaf good morning sunshine ,0
skyjuices,@cheltyl hahaha love to eat!  are u still cooking a lot?  ,0
timpo88m,"@Renoah No, we wouldn't strike, we would just go back to the &quot;an army of one&quot; slogan, send one guy, and the rest of us would take a break ",0
xxKrissy,@mileycyrus its not that late milez. but i do sujest you get some sleep soon. sweet dreams! ,0
jyl_MomIF,@heyhotmess Not for a while... busy moving...  ,0
KNicholeMusic,FOLLOW ME!!!!  ,0
itsclaire_e,ditto   @jaymillion @Mic1 @abadchris @DelTheMusician @christinaluna @hazeldb  @itsmichellepark  @gabebondoc @tiffanywon  @amplifiedent,0
whattajerk,@mileycyrus hey miley! are u going to have your concert here in the Philippines? ,0
GeoffersOnline,"Yaaaaaaaawn... It's another day but hey, it's Wednesday already ",0
amaccord,@dannygokey I haven't seen it but I am pretty sure you should show yourself outside US someday.  ,0
_fn,@psychomuffin sooo great ,0
Justblakeb,"GO BROBEE, GO BROBEE, GO, GO, GO BROBEE! I LIKE TO DANCE!  hahaha so funny... Shower time! Text me!!! ;)",0
swapna111,"@RinkuKilla follow more people dhakkan, also you could fill it with your own tweets ",0
transicle,for some reason it bothers me when people do smiley faces like (: instead of ,0
nursejennifer,@ashleygreen thank u Ashley!!! That was sooo sweet  u made my night!,0
slworking,@RayShobe I wear sandals all the time - even when using the trimmer.  I've only had the line come in contact with my toes once.  ,0
RBCKINGPIN,@SongzYuuup  I Need A Girl Is A Sick Track bro Good Working Looking Foward To Ur New Tracks Big Fan ,0
matz110,"had a girls Topes night, looking forward to the rest of this wonderful week ",0
eeerawk,i have the most amazing boyfriend  *sigh* Until tomorrow tweeters. Night.,0
tnicholson,@mubix wonder if the code changed this weekend?  Wasnt it done just updating the docs?  Guess i need to build it all over again. ,0
